"design","N","M","per1","per2","per3","file"
"regular",50,20,1,1,1,"result_parameter_set1_regular_65_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_66_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_66_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_66_N_50_M_10.rds"
"regular",50,20,1,0.97,1,"result_parameter_set1_regular_66_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_67_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_67_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_67_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_67_N_50_M_20.rds"
"regular",100,10,0.77,0.71,1,"result_parameter_set1_regular_68_N_100_M_10.rds"
"regular",100,20,0.53,0.73,1,"result_parameter_set1_regular_68_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_68_N_50_M_10.rds"
"regular",50,20,0.79,1,1,"result_parameter_set1_regular_68_N_50_M_20.rds"
"regular",100,10,1,0.95,1,"result_parameter_set1_regular_69_N_100_M_10.rds"
"regular",100,20,0.79,1,1,"result_parameter_set1_regular_69_N_100_M_20.rds"
"regular",50,10,0.88,1,1,"result_parameter_set1_regular_69_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_69_N_50_M_20.rds"
"regular",100,10,1,0.98,1,"result_parameter_set1_regular_7_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_7_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_7_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_7_N_50_M_20.rds"
"regular",100,10,0.72,0.91,1,"result_parameter_set1_regular_70_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_70_N_100_M_20.rds"
"regular",50,10,0.76,0.72,1,"result_parameter_set1_regular_70_N_50_M_10.rds"
"regular",50,20,0.31,0.13,1,"result_parameter_set1_regular_70_N_50_M_20.rds"
"regular",100,10,0.83,1,1,"result_parameter_set1_regular_71_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_71_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_71_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_71_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_72_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_72_N_100_M_20.rds"
"regular",50,10,0.9,1,1,"result_parameter_set1_regular_72_N_50_M_10.rds"
"regular",50,20,0.72,1,1,"result_parameter_set1_regular_72_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_73_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_73_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_73_N_50_M_10.rds"
"regular",50,20,0.54,0.41,0,"result_parameter_set1_regular_73_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_74_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_74_N_100_M_20.rds"
"regular",50,10,1,0.99,1,"result_parameter_set1_regular_74_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_74_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_75_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_75_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_75_N_50_M_10.rds"
"regular",50,20,0.77,0.8,1,"result_parameter_set1_regular_75_N_50_M_20.rds"
"regular",100,10,1,0.95,1,"result_parameter_set1_regular_76_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_76_N_100_M_20.rds"
"regular",50,10,1,0.83,1,"result_parameter_set1_regular_76_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_76_N_50_M_20.rds"
"regular",100,10,0.98,0.82,1,"result_parameter_set1_regular_77_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_77_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_77_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_77_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_78_N_100_M_10.rds"
"regular",100,20,1,0.89,1,"result_parameter_set1_regular_78_N_100_M_20.rds"
"regular",50,10,0.8,0.88,1,"result_parameter_set1_regular_78_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_78_N_50_M_20.rds"
"regular",100,10,0.64,0.53,1,"result_parameter_set1_regular_79_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_79_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_79_N_50_M_10.rds"
"regular",50,20,0.66,0.89,1,"result_parameter_set1_regular_79_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_8_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_8_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_8_N_50_M_10.rds"
"regular",50,20,1,0.93,1,"result_parameter_set1_regular_8_N_50_M_20.rds"
"regular",100,10,1,0.98,0.84,"result_parameter_set1_regular_80_N_100_M_10.rds"
"regular",100,20,1,0.9,1,"result_parameter_set1_regular_80_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_80_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_80_N_50_M_20.rds"
"regular",100,10,0.92,0.94,1,"result_parameter_set1_regular_81_N_100_M_10.rds"
"regular",100,20,0.83,0.97,1,"result_parameter_set1_regular_81_N_100_M_20.rds"
"regular",50,10,1,0.97,1,"result_parameter_set1_regular_81_N_50_M_10.rds"
"regular",50,20,1,0.9,1,"result_parameter_set1_regular_81_N_50_M_20.rds"
"regular",100,10,0.9,0.93,0,"result_parameter_set1_regular_82_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_82_N_100_M_20.rds"
"regular",50,10,1,0.95,0.31,"result_parameter_set1_regular_82_N_50_M_10.rds"
"regular",50,20,0.43,0.82,1,"result_parameter_set1_regular_82_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_83_N_100_M_10.rds"
"regular",100,20,1,1,0,"result_parameter_set1_regular_83_N_100_M_20.rds"
"regular",50,10,1,0.92,1,"result_parameter_set1_regular_83_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_83_N_50_M_20.rds"
"regular",100,10,0.65,0.99,1,"result_parameter_set1_regular_84_N_100_M_10.rds"
"regular",100,20,0.86,0.97,1,"result_parameter_set1_regular_84_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_84_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_84_N_50_M_20.rds"
"regular",100,10,0.28,0.48,0,"result_parameter_set1_regular_85_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_85_N_100_M_20.rds"
"regular",50,10,0.86,0.87,1,"result_parameter_set1_regular_85_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_85_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_86_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_86_N_100_M_20.rds"
"regular",50,10,0.73,0.9,0,"result_parameter_set1_regular_86_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_86_N_50_M_20.rds"
"regular",100,10,0.9,0.84,1,"result_parameter_set1_regular_87_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_87_N_100_M_20.rds"
"regular",50,10,1,1,0.07,"result_parameter_set1_regular_87_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_87_N_50_M_20.rds"
"regular",100,10,0.84,0.94,1,"result_parameter_set1_regular_88_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_88_N_100_M_20.rds"
"regular",50,10,0.59,0.69,1,"result_parameter_set1_regular_88_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_88_N_50_M_20.rds"
"regular",100,10,0.99,1,1,"result_parameter_set1_regular_89_N_100_M_10.rds"
"regular",100,20,1,0.9,1,"result_parameter_set1_regular_89_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_89_N_50_M_10.rds"
"regular",50,20,0.97,1,1,"result_parameter_set1_regular_89_N_50_M_20.rds"
"regular",100,10,0.68,0.79,1,"result_parameter_set1_regular_9_N_100_M_10.rds"
"regular",100,20,1,0.96,1,"result_parameter_set1_regular_9_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_9_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_9_N_50_M_20.rds"
"regular",100,10,0.9,0.95,1,"result_parameter_set1_regular_90_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_90_N_100_M_20.rds"
"regular",50,10,1,0.99,1,"result_parameter_set1_regular_90_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_90_N_50_M_20.rds"
"regular",100,10,1,0.89,1,"result_parameter_set1_regular_91_N_100_M_10.rds"
"regular",100,20,0.69,1,1,"result_parameter_set1_regular_91_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_91_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_91_N_50_M_20.rds"
"regular",100,10,1,0.96,0.55,"result_parameter_set1_regular_92_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_92_N_100_M_20.rds"
"regular",50,10,1,0.99,0,"result_parameter_set1_regular_92_N_50_M_10.rds"
"regular",50,20,1,1,0,"result_parameter_set1_regular_92_N_50_M_20.rds"
"regular",100,10,0.77,0.83,1,"result_parameter_set1_regular_93_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_93_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_93_N_50_M_10.rds"
"regular",50,20,0.56,0.52,1,"result_parameter_set1_regular_93_N_50_M_20.rds"
"regular",100,10,1,0.87,1,"result_parameter_set1_regular_94_N_100_M_10.rds"
"regular",100,20,0.69,1,0,"result_parameter_set1_regular_94_N_100_M_20.rds"
"regular",50,10,0.86,0.92,0.47,"result_parameter_set1_regular_94_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_94_N_50_M_20.rds"
"regular",100,10,1,0.88,1,"result_parameter_set1_regular_95_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_95_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_95_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_95_N_50_M_20.rds"
"regular",100,10,0.67,0.85,1,"result_parameter_set1_regular_96_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_96_N_100_M_20.rds"
"regular",50,10,1,0.98,1,"result_parameter_set1_regular_96_N_50_M_10.rds"
"regular",50,20,0.79,0.8,0,"result_parameter_set1_regular_96_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_97_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_97_N_100_M_20.rds"
"regular",50,10,0.74,0.83,1,"result_parameter_set1_regular_97_N_50_M_10.rds"
"regular",50,20,0.67,0.8,1,"result_parameter_set1_regular_97_N_50_M_20.rds"
"regular",100,10,0.84,0.76,1,"result_parameter_set1_regular_98_N_100_M_10.rds"
"regular",100,20,0.81,0.81,1,"result_parameter_set1_regular_98_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_98_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_98_N_50_M_20.rds"
"regular",100,10,1,1,1,"result_parameter_set1_regular_99_N_100_M_10.rds"
"regular",100,20,1,1,1,"result_parameter_set1_regular_99_N_100_M_20.rds"
"regular",50,10,1,1,1,"result_parameter_set1_regular_99_N_50_M_10.rds"
"regular",50,20,1,1,1,"result_parameter_set1_regular_99_N_50_M_20.rds"
