"N","M","gamma11","psi11","mu11","psi12","mu12","psi13","mu13","psi14","mu14","psi15","mu15","psi16","mu16","psi21","mu21","psi22","mu22","psi23","mu23","psi24","mu24","psi25","mu25","psi26","mu26"
100,10,0.407863257449563,0.00271003625019328,0.00237267714261488,0.00765472199250239,0.00127945503339018,0.0166377034483884,0.000211458904904965,0.0876277481328551,0.0001279948822862,0.487392133360867,1.72621012985256e-06,0.437844030225299,1.89945381778368e-08,0.00622712202791676,0.0295815888673391,0.0748076860230497,0.0212115877656224,0.280938934937678,0.000669720164383474,0.377304122768588,3.41419563197207e-06,1.60480547332826,3.38067434965246e-09,1.61461056416747,1.21894909185036e-09
100,20,0.11686827004725,0.00384257870666003,0.00165620958434077,0.00955459184221319,0.00114801973429192,0.0158954461677759,0.00011794689199352,0.303917350965942,0.00012703426919345,0.31856819936578,1.73070939671686e-06,0.160276760274089,1.93103298798581e-08,0.0016265038448005,0.00850250177445997,0.0376301349631871,0.004465509062255,1.35587814489107,0.000682290578689648,1.40172164473195,4.1574161118772e-06,1.42487965427948,5.75793697586344e-09,1.40997775167535,8.2576669583771e-10
