"N","M","psi11","mu11","psi12","mu12","psi13","mu13","psi14","mu14","psi15","mu15","psi16","mu16","psi21","mu21","psi22","mu22","psi23","mu23","psi24","mu24","psi25","mu25","psi26","mu26"
50,10,0.00213049675002559,0.00407167512651511,0.0183040806550867,0.00225431424375891,0.0353135339961567,0.000663147158149167,0.657385515340719,5.02504144986283e-06,1.40294660619147,1.84207772783646e-08,1.55361348590439,2.10378629133498e-11,0.0110661458405334,0.0143375906841705,0.0248200179687374,0.00538435892297195,0.466481288684366,0.00447624718555947,1.72450046996234,0.00012784347881753,1.77359501360784,1.72286715077346e-06,0.126182509122305,1.86449770036496e-08
50,20,0.00185461693250714,0.00183806070269857,0.0113403300375704,0.00156181611497893,0.0285704242930895,0.000216816517438634,0.671537862940578,5.06706435597057e-06,1.58444886106931,1.85335425574041e-08,1.68544989757695,2.77968802742726e-11,0.00809649540567323,0.00612261637010774,0.0204856986442618,0.00269169253654525,0.0617525595846849,0.00219798881711952,1.72345628836488,0.000128073510455884,1.66539642217006,1.73792628663596e-06,0.302677778689614,1.96116195503174e-08
100,10,0.00108266668121953,0.00283904269332578,0.00981584474086479,0.00154286331083025,0.0163435956744185,0.000584146920049126,0.647505682848192,4.7997793059119e-06,1.54629582884579,1.72134260410431e-08,1.67609219887626,5.09767707375014e-12,0.00497413823213748,0.0100618604676654,0.0158134378234195,0.00228384672743894,0.325656224313437,0.00446981642985052,1.76481437537042,0.000127394719165393,1.80328039822354,1.70036535079506e-06,0.0645822434107085,1.73381750873704e-08
100,20,0.000756529009944947,0.00144328352833276,0.00644932613767306,0.00102098959820348,0.0132255132185476,0.000146034585025162,0.661246518031745,4.88793823958109e-06,1.64964462782294,1.76404213246592e-08,1.75628485317404,1.1775069796751e-11,0.00422560845492615,0.00379376978447948,0.00961079631168296,0.0014426729066884,0.0407158735504445,0.00187873033512152,1.80919812450755,0.000127816552453139,1.76559888897551,1.7281598870529e-06,0.310517504490737,1.89188560049495e-08
