"N","M","beta1","lambda11","phi11","nu11","phi12","nu12","phi13","nu13","phi14","nu14","phi15","nu15","phi16","nu16","sigma1","beta2","lambda21","phi21","nu21","phi22","nu22","phi23","nu23","phi24","nu24","phi25","nu25","phi26","nu26","sigma2","beta3","lambda31","phi31","nu31","phi32","nu32","phi33","nu33","phi34","nu34","phi35","nu35","phi36","nu36","sigma3","beta4","lambda41","phi41","nu41","phi42","nu42","phi43","nu43","phi44","nu44","phi45","nu45","phi46","nu46","sigma4","beta5","lambda51","phi51","nu51","phi52","nu52","phi53","nu53","phi54","nu54","phi55","nu55","phi56","nu56","sigma5","beta6","lambda61","phi61","nu61","phi62","nu62","phi63","nu63","phi64","nu64","phi65","nu65","phi66","nu66","sigma6"
50,10,0.0553780522046203,0.0245773637762031,0.00720517204795184,0.0644206718053753,0.032778567018134,0.00144217631935509,1.7930654417978,0.000509594037089967,1.29240834212944,0.000353170268452996,1.86685797216727,0.000109765760630991,0.678961537189775,5.05653689882882e-07,0.000129332164369255,0.0471903730105426,0.0314690731572724,0.0193011817912303,0.0543566869328477,0.0518039169357127,0.00389182081618217,1.97802686451217,0.00115717081822054,1.93145202591896,0.000699431706328101,1.77765419503225,8.18625139580899e-05,1.3209923776944,4.33471687048746e-07,0.0364036416506485,0.022531294835755,0.101799565662496,0.00311804470618001,0.0550034110908572,1.58901664468782,0.00158387155792959,0.671115941350912,0.000225638912607199,1.74290616039748,3.75545746119981e-06,1.52886934858411,1.0290073624094e-06,1.59708191424288,1.54781638506148e-07,0.329052675742023,0.0399011829620387,0.0632439408166686,0.199449327792136,0.131380863326213,1.78363146757147,0.00972083962907988,1.30892057047415,0.0142135479570846,1.93698930238852,0.000357107417687468,1.79703840182416,1.15314030545965e-05,1.84423135754079,1.25772654001757e-06,1.27580368602051,0.0365456651616137,0.0641043843982939,0.247695396454889,0.132140169155053,1.88842279437312,0.0144886167842554,0.337161580907059,0.00940679541476322,1.21708339870826,0.000497834447399771,1.20098400626274,4.8257646303732e-05,1.69565728019412,3.06273669924319e-06,1.10749857364668,0.0341037456162094,0.0522129528636248,1.44892544811733,0.00317184474557481,1.81462457515543,0.0116786027062615,1.81661892210962,0.010426212473949,1.73992372121013,0.000129381290431798,1.87864883796362,1.29182314019546e-05,1.77094512296759,1.05367940696408e-06,1.86988574816376
50,20,0.0551152060613466,0.0181481521769183,0.0047754004683431,0.0609556609310982,0.013403650367575,0.000970640068229472,1.31360041651125,1.76994832858005e-05,1.52076805901956,0.00014258967509972,0.53885837709086,7.47494789503849e-05,0.671671822793315,2.83492309950921e-07,8.98108411398228e-05,0.0506680608229002,0.0213907195118807,0.0147214929031141,0.0438277029234104,0.0268052966084633,0.00413472353415207,1.90713638231328,6.24006321422354e-05,1.93308510465441,0.000115040705070627,1.13607193750489,0.000104619450694781,1.32755029894762,8.31615543178166e-07,0.0228372629340236,0.02488584325724,0.0871690586729579,0.00163544245502389,0.0414027100292704,1.43449196766812,2.04349262772238e-05,0.927254439859051,0.000105112716104066,1.65976170616819,3.21399048988732e-06,1.25858211352664,6.44575894458794e-07,1.65894287629998,9.18607381035505e-08,0.189094893559107,0.0347952077175148,0.0378968946763616,0.0300890201554121,0.0744563661437388,1.59890589617797,0.000528495528636093,1.49901253237534,0.00314999198966647,1.74377168980985,0.00170600536178485,1.89013888965586,5.12845512716308e-06,1.91228373297473,8.75533245385273e-07,0.980561748772778,0.0311547991022649,0.0376562734170746,0.0395609728630621,0.0879163730699344,1.79860820551198,0.00194631364382337,0.36258639034491,0.00247682241792205,0.989279651463243,0.00120205751050133,1.65978372423301,3.12627853217316e-06,1.74838577260589,1.63512564242602e-06,0.935045149584585,0.0303105957055593,0.0371312231345074,0.0321797702992815,0.00535805727381445,1.87368908235635,0.00165794701022625,1.66328423960651,0.00296394920645672,1.88774350357416,0.00116095006176319,1.91651254662033,2.89275557428383e-06,1.84931866648724,7.85420048192751e-07,1.96003941958301
100,10,0.0334508049916801,0.0136259841641112,0.00324473044451584,0.0405892887609584,0.0136880260163928,0.000794788855879803,1.89351606861857,0.000509451852436916,1.28494057747256,0.000383209075354563,1.91587520918275,0.000125978175982143,0.669601576287349,6.32593564451859e-07,0.000130591309862853,0.0331890027244023,0.0209377085372487,0.00801444572253584,0.019812839833594,0.0395384547199874,0.00188473108605082,2.00703243917511,0.00137648013480466,1.93220185372169,0.000760918705417048,1.79060559551436,8.47441698491689e-05,1.34118676816052,6.7810955999487e-07,0.0380281392900089,0.0191804705090603,0.0887684588327726,0.00172503337936644,0.0260987237939889,1.59641378440439,0.00181562942357666,0.687900458585535,0.000288904476532229,1.82382113976754,4.74564678267466e-06,1.61162176221371,1.36628678341862e-06,1.60416858140355,1.62190644338187e-07,0.350436020473912,0.0185018559088922,0.0374795464324485,0.157833519639088,0.125513177264258,1.79705100458417,0.0103091100575842,1.26833597644857,0.0150890733230701,1.93961508484682,0.000436728071608218,1.87592882573173,1.71287169902438e-05,1.84162347319448,1.77445940511219e-06,1.26711397002549,0.0192948431466857,0.0396464837491285,0.221580086198335,0.134509048395912,1.93072469629466,0.0149256770586606,0.284153367469508,0.010291594637191,1.25759514045999,0.00058049018188294,1.11899544970565,0.000103451473829207,1.69797988733792,4.56991988992847e-06,1.10147112920977,0.0183255265576721,0.0305652516651479,1.67539527754612,0.00292568466630809,1.85143991792874,0.0118648078770496,1.86821311788154,0.0118416940343357,1.81743503445948,0.000192088867565805,1.88300651652548,1.78285770701832e-05,1.77402995364222,1.34805978462784e-06,1.88078514633253
100,20,0.0274657230370459,0.0125221053767186,0.00280608806682104,0.0272077703391231,0.00679551176577589,0.000701760579511633,1.31983844936218,5.79746495571821e-06,1.55797199491738,0.000167073176014871,0.351055478235999,8.55631979049353e-05,0.664315789158784,3.36965318335361e-07,9.12815134391418e-05,0.0243261572918604,0.0151515588390378,0.00688412012629043,0.0208895356481133,0.0164435652115838,0.00209962483401581,1.95862557339874,7.62546674666069e-05,1.92475761053256,0.000121528837165003,1.07079185931778,0.00012448891222623,1.32032532426692,1.02738871189913e-06,0.0227479848408231,0.0145008104843996,0.0762224146647817,0.000876720391790471,0.0222959737286463,1.4156108024457,2.83595853534897e-05,0.927891824972054,0.000121315637099439,1.69586854293621,2.87238477338672e-06,1.32707167073143,8.97245920853136e-07,1.65524718406732,1.14026239563763e-07,0.193240957539303,0.0178334144981672,0.0185160152725278,0.0237132268521485,0.0712098737222629,1.5968169079107,0.000520942653129823,1.48570079103461,0.00322905711876868,1.76872522507082,0.00198023100094743,1.93640515016117,5.2143879538127e-06,1.96409519983055,1.23787544189499e-06,0.970303412955583,0.0165781198959673,0.0198353458026753,0.0333766601385723,0.085305246288176,1.86771714794127,0.00197573091224525,0.30169985571905,0.00260505392252794,0.97796777182637,0.00143461819968384,1.67525539916889,3.57314406886739e-06,1.73106999629542,2.40206958757032e-06,0.950246280302588,0.0159101149299755,0.0189586838356641,0.0195393387628208,0.00557351082166958,1.86952854126667,0.00163602598678527,1.65141148707183,0.00300022960081008,1.93527990840347,0.00142681976709128,1.91340538815371,3.81713640576149e-06,1.84515242013764,9.84412860974892e-07,1.8508045549111
