"N","M","psi11","psi12","mu11","mu12","psi21","psi22","mu21","mu22"
50,10,0.00213049675002559,0.0183040806550867,0.00407167512651511,0.00225431424375891,0.0110661458405334,0.0248200179687374,0.0143375906841705,0.00538435892297195
50,20,0.00185461693250714,0.0113403300375704,0.00183806070269857,0.00156181611497893,0.00809649540567323,0.0204856986442618,0.00612261637010774,0.00269169253654525
100,10,0.00108266668121953,0.00981584474086479,0.00283904269332578,0.00154286331083025,0.00497413823213748,0.0158134378234195,0.0100618604676654,0.00228384672743894
100,20,0.000756529009944947,0.00644932613767306,0.00144328352833276,0.00102098959820348,0.00422560845492615,0.00961079631168296,0.00379376978447948,0.0014426729066884
