"N","M","beta1","lambda11","phi11","phi12","nu11","nu12","sigma1","beta2","lambda21","phi21","phi22","nu21","nu22","sigma2","beta3","lambda31","phi31","phi32","nu31","nu32","sigma3","beta4","lambda41","phi41","phi42","nu41","nu42","sigma4","beta5","lambda51","phi51","phi52","nu51","nu52","sigma5","beta6","lambda61","phi61","phi62","nu61","nu62","sigma6"
50,10,0.0553780522046203,0.0245773637762031,0.00720517204795184,0.032778567018134,0.0644206718053753,0.00144217631935509,0.000129332164369255,0.0471903730105426,0.0314690731572724,0.0193011817912303,0.0518039169357127,0.0543566869328477,0.00389182081618217,0.0364036416506485,0.022531294835755,0.101799565662496,0.00311804470618001,1.58901664468782,0.0550034110908572,0.00158387155792959,0.329052675742023,0.0399011829620387,0.0632439408166686,0.199449327792136,1.78363146757147,0.131380863326213,0.00972083962907988,1.27580368602051,0.0365456651616137,0.0641043843982939,0.247695396454889,1.88842279437312,0.132140169155053,0.0144886167842554,1.10749857364668,0.0341037456162094,0.0522129528636248,1.44892544811733,1.81462457515543,0.00317184474557481,0.0116786027062615,1.86988574816376
50,20,0.0551152060613466,0.0181481521769183,0.0047754004683431,0.013403650367575,0.0609556609310982,0.000970640068229472,8.98108411398228e-05,0.0506680608229002,0.0213907195118807,0.0147214929031141,0.0268052966084633,0.0438277029234104,0.00413472353415207,0.0228372629340236,0.02488584325724,0.0871690586729579,0.00163544245502389,1.43449196766812,0.0414027100292704,2.04349262772238e-05,0.189094893559107,0.0347952077175148,0.0378968946763616,0.0300890201554121,1.59890589617797,0.0744563661437388,0.000528495528636093,0.980561748772778,0.0311547991022649,0.0376562734170746,0.0395609728630621,1.79860820551198,0.0879163730699344,0.00194631364382337,0.935045149584585,0.0303105957055593,0.0371312231345074,0.0321797702992815,1.87368908235635,0.00535805727381445,0.00165794701022625,1.96003941958301
100,10,0.0334508049916801,0.0136259841641112,0.00324473044451584,0.0136880260163928,0.0405892887609584,0.000794788855879803,0.000130591309862853,0.0331890027244023,0.0209377085372487,0.00801444572253584,0.0395384547199874,0.019812839833594,0.00188473108605082,0.0380281392900089,0.0191804705090603,0.0887684588327726,0.00172503337936644,1.59641378440439,0.0260987237939889,0.00181562942357666,0.350436020473912,0.0185018559088922,0.0374795464324485,0.157833519639088,1.79705100458417,0.125513177264258,0.0103091100575842,1.26711397002549,0.0192948431466857,0.0396464837491285,0.221580086198335,1.93072469629466,0.134509048395912,0.0149256770586606,1.10147112920977,0.0183255265576721,0.0305652516651479,1.67539527754612,1.85143991792874,0.00292568466630809,0.0118648078770496,1.88078514633253
100,20,0.0274657230370459,0.0125221053767186,0.00280608806682104,0.00679551176577589,0.0272077703391231,0.000701760579511633,9.12815134391418e-05,0.0243261572918604,0.0151515588390378,0.00688412012629043,0.0164435652115838,0.0208895356481133,0.00209962483401581,0.0227479848408231,0.0145008104843996,0.0762224146647817,0.000876720391790471,1.4156108024457,0.0222959737286463,2.83595853534897e-05,0.193240957539303,0.0178334144981672,0.0185160152725278,0.0237132268521485,1.5968169079107,0.0712098737222629,0.000520942653129823,0.970303412955583,0.0165781198959673,0.0198353458026753,0.0333766601385723,1.86771714794127,0.085305246288176,0.00197573091224525,0.950246280302588,0.0159101149299755,0.0189586838356641,0.0195393387628208,1.86952854126667,0.00557351082166958,0.00163602598678527,1.8508045549111
